SA3_CODE,YEAR,MEDIAN_WEEKLY_HH_INCOME,POP
217031472,2021,846,
217031473,2021,903,
217031474,2021,786,
217031475,2021,901,
217031476,2021,812,
217041477,2021,943,
217041478,2021,954,
217041479,2021,942,
217041480,2021,933,
301011001,2021,1053,
301011002,2021,1389,
301011003,2021,1115,
301011004,2021,1044,
301011005,2021,1008,
301011006,2021,1227,
301021007,2021,954,
301021008,2021,1149,
301021009,2021,1141,
301021011,2021,1398,
301021012,2021,1228,
301021013,2021,929,
301021550,2021,784,
301021551,2021,542,
301031015,2021,1266,
301031016,2021,1208,
301031017,2021,1483,
301031018,2021,1203,
301031019,2021,1584,
301031020,2021,1164,
301031021,2021,1098,
302011022,2021,1134,
302011023,2021,1557,
302011024,2021,1170,
302011025,2021,1298,
302011026,2021,1397,
302021027,2021,1121,
302021028,2021,1035,
302021029,2021,1213,
302021030,2021,1232,
302021031,2021,1418,
302021032,2021,1203,
302021033,2021,1215,
302021034,2021,1525,
302031035,2021,1118,
302031037,2021,1562,
302031038,2021,1370,
302031039,2021,1340,
302031040,2021,1301,
302041041,2021,1096,
302041042,2021,1173,
302041043,2021,1019,
302041044,2021,1188,
302041045,2021,994,
302041046,2021,967,
303011047,2021,1710,
303011048,2021,1462,
303011049,2021,1312,
303011050,2021,1287,
303011051,2021,1325,
303021052,2021,1230,
303021053,2021,1462,
303021054,2021,1282,
303021055,2021,1355,
303021056,2021,1432,
303021057,2021,1375,
303021058,2021,1276,
303021059,2021,1419,
303031060,2021,1081,
303031061,2021,939,
303031062,2021,1085,
303031063,2021,1234,
303031064,2021,1371,
303031065,2021,1058,
303031066,2021,1102,
303041067,2021,967,
303041068,2021,1220,
303041069,2021,958,
303041070,2021,1217,
303041071,2021,1595,
303051072,2021,985,
303051073,2021,1046,
303051074,2021,1275,
303051075,2021,1135,
303051076,2021,873,
303061077,2021,1063,
303061078,2021,990,
303061079,2021,908,
303061080,2021,950,
304011081,2021,1346,
304011082,2021,1204,
304011083,2021,1221,
304011084,2021,1449,
304011085,2021,1486,
304021086,2021,1309,
304021087,2021,1710,
304021088,2021,1625,
304021089,2021,1893,
304021090,2021,1429,
304021091,2021,1737,
304031092,2021,1755,
304031093,2021,1338,
304031094,2021,1305,
304031095,2021,1420,
304031096,2021,1147,
304031097,2021,1317,
304041098,2021,1313,
304041099,2021,725,
304041100,2021,1030,
304041101,2021,1367,
304041103,2021,1448,
304041104,2021,1391,
305011105,2021,1380,
305011106,2021,1302,
305011107,2021,1280,
305011108,2021,1552,
305011109,2021,1541,
305011110,2021,1338,
305011111,2021,1314,
305011112,2021,1493,
305021113,2021,1702,
305021114,2021,1884,
305021115,2021,1389,
305021116,2021,1834,
305021117,2021,1550,
305021118,2021,1754,
305031119,2021,1505,
305031120,2021,1578,
305031121,2021,1582,
305031122,2021,1406,
305031123,2021,1790,
305031124,2021,1578,
305031125,2021,1759,
305031126,2021,1176,
305031127,2021,1446,
305031128,2021,1711,
305031129,2021,1820,
305031130,2021,1474,
305031131,2021,1450,
305041132,2021,1671,
305041133,2021,1506,
305041134,2021,1871,
305041135,2021,1702,
305041136,2021,1553,
305041137,2021,1377,
306011138,2021,1246,
306011139,2021,1062,
306011140,2021,1234,
306011141,2021,1228,
306011142,2021,1098,
306011143,2021,941,
306021144,2021,1028,
306021145,2021,1024,
306021146,2021,961,
306021147,2021,961,
306021148,2021,1050,
306021149,2021,1049,
306021151,2021,741,
306021152,2021,773,
306021153,2021,1083,
306021154,2021,839,
306021155,2021,862,
306021156,2021,1129,
